,Sherpa,PoPy,VV
muon_0_MUON_EFF_ISO_STAT_1up_MuEffSF_IsoLoose_FixedRad,429766.1340332031,467626.25744628906,8489.271448970772
muon_0_MUON_EFF_ISO_STAT_1up_MuEffSF_IsoTightTrackOnly_FixedRad,430400.1751098633,468325.21795654297,8502.172305776272
muon_0_MUON_EFF_ISO_SYS_1up_MuEffSF_IsoLoose_FixedRad,430179.4850463867,468073.05334472656,8498.696520131547
muon_0_MUON_EFF_ISO_SYS_1up_MuEffSF_IsoTightTrackOnly_FixedRad,430560.3234863281,468485.8793334961,8504.802220351528
muon_0_MUON_EFF_RECO_STAT_1up_MuEffSF_Reco_QualMedium,429691.07775878906,467551.8588256836,8485.71902706055
muon_0_MUON_EFF_RECO_STAT_LOWPT_1up_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muon_0_MUON_EFF_RECO_SYS_1up_MuEffSF_Reco_QualMedium,430753.64862060547,468695.6618041992,8510.065383733716
muon_0_MUON_EFF_RECO_SYS_LOWPT_1up_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muon_0_MUON_EFF_TTVA_STAT_1up_MuEffSF_TTVA,429706.7357788086,467568.95989990234,8486.037380979862
muon_0_MUON_EFF_TTVA_SYS_1up_MuEffSF_TTVA,429807.5285644531,467677.6633911133,8488.059638133738
muon_0_MUON_EFF_TrigStatUncertainty_1up_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429515.2119140625,467361.34588623047,8482.323401551228
muon_0_MUON_EFF_TrigStatUncertainty_1up_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,430023.83221435547,467917.04638671875,8492.536817951128
muon_0_MUON_EFF_TrigSystUncertainty_1up_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429572.30712890625,467424.1579589844,8483.570347886067
muon_0_MUON_EFF_TrigSystUncertainty_1up_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,430249.5866088867,468160.0704345703,8496.809056554921
muon_1_MUON_EFF_ISO_STAT_1up_MuEffSF_IsoLoose_FixedRad,429539.6071777344,467384.5093383789,8483.242529750802
muon_1_MUON_EFF_ISO_STAT_1up_MuEffSF_IsoTightTrackOnly_FixedRad,429836.58587646484,467704.03674316406,8490.377380086575
muon_1_MUON_EFF_ISO_SYS_1up_MuEffSF_IsoLoose_FixedRad,429734.86895751953,467594.6760864258,8487.56483296724
muon_1_MUON_EFF_ISO_SYS_1up_MuEffSF_IsoTightTrackOnly_FixedRad,430185.26263427734,468084.27868652344,8496.415144927334
muon_1_MUON_EFF_RECO_STAT_1up_MuEffSF_Reco_QualMedium,429690.7033691406,467551.9416503906,8485.698291931767
muon_1_MUON_EFF_RECO_STAT_LOWPT_1up_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muon_1_MUON_EFF_RECO_SYS_1up_MuEffSF_Reco_QualMedium,430364.7694091797,468279.1553955078,8499.773899948224
muon_1_MUON_EFF_RECO_SYS_LOWPT_1up_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muon_1_MUON_EFF_TTVA_STAT_1up_MuEffSF_TTVA,429604.2219848633,467456.44439697266,8484.279133615084
muon_1_MUON_EFF_TTVA_SYS_1up_MuEffSF_TTVA,429653.94274902344,467510.0129394531,8485.44429632416
muon_1_MUON_EFF_TrigStatUncertainty_1up_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429515.2119140625,467361.34588623047,8482.323401551228
muon_1_MUON_EFF_TrigStatUncertainty_1up_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,430023.83221435547,467917.04638671875,8492.536817951128
muon_1_MUON_EFF_TrigSystUncertainty_1up_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429572.30712890625,467424.1579589844,8483.570347886067
muon_1_MUON_EFF_TrigSystUncertainty_1up_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,430249.5866088867,468160.0704345703,8496.809056554921
muons_MUON_EFF_ISO_STAT_1up_MuEffSF_IsoLoose_FixedRad,429833.2427368164,467696.42486572266,8491.153031015303
