46.135316, 1.914844, 0.369550, -1.000000, 0.217019, 1, 27.613645, 0.317952, -2.713290, 1.000000, 1, 19.135851, -2.515363, 3.082840, 2.884914, 0.197927, 0, 1693590404, Passed, Passed, Passed, Passed, NOPASS, Passed
27.275467, 0.464202, 0.425962, -1.000000, 0.774907, 1, 37.157492, 1.585427, 2.252906, 1.000000, 1, 9.564395, -1.362961, 1.826944, 1.788922, 2.667319, 0, 1693795330, Passed, Passed, Passed, Passed, Passed, NOPASS
81.565945, 0.751005, 0.941241, -1.000000, 0.168841, 1, 71.053336, 1.101161, -3.029575, 1.000000, 1, 60.600250, -1.232437, 2.312369, 2.173678, 1.797138, 0, 1694075939, Passed, Passed, Passed, Passed, Passed, NOPASS
26.776908, -0.719373, -0.180861, 1.000000, 0.168428, 1, 39.372719, -0.281696, 1.823472, -1.000000, 1, 39.866092, -2.013150, 2.004333, 1.832289, 2.446563, 0, 1696848811, Passed, Passed, Passed, Passed, Passed, NOPASS
72.426781, 0.635394, 3.007561, -1.000000, 0.941841, 1, 81.614789, 1.727443, 0.525911, 1.000000, 1, 86.716263, 0.766109, 2.481650, 2.241451, 0.240198, 1, 1705101838, Passed, Passed, Passed, Passed, NOPASS, Passed
47.763801, 0.521389, -0.697248, -1.000000, 0.164873, 1, 36.942547, 0.575054, 2.497651, 1.000000, 1, 10.584620, 2.574197, 3.088287, 3.011741, 0.076546, 0, 1710092352, Passed, Passed, Passed, Passed, NOPASS, Passed
26.869437, 0.548195, 1.713557, -1.000000, 0.159670, 1, 36.830488, 2.006985, -0.851147, -1.000000, 1, 30.470299, 3.069239, 2.564703, 1.355682, 2.362800, 0, 1732516934, Passed, Passed, Passed, NOPASS, NOPASS, Passed
37.873211, -1.576621, -0.357764, -1.000000, 0.491594, 1, 56.695695, 0.489063, 2.338814, 1.000000, 1, 146.588138, 2.440604, 2.696578, 2.798368, 0.101790, 1, 1732281166, Passed, Passed, Passed, Passed, NOPASS, Passed
26.756596, 0.100897, 1.605900, 1.000000, 0.630503, 1, 27.359479, -1.639930, -1.507039, -1.000000, 0, 4.794168, -0.431645, 3.112939, 2.037545, 1.075395, 0, 1734444786, Passed, Passed, Passed, Passed, NOPASS, Passed
41.177527, -2.124894, 2.608999, 1.000000, 0.633127, 1, 26.335402, -2.360729, -0.113086, 1.000000, 1, 14.719285, -1.000979, 2.722085, 2.673207, 0.887893, 0, 1737861557, Passed, Passed, Passed, NOPASS, NOPASS, Passed
36.349992, -1.689475, 0.516247, 1.000000, 0.260966, 1, 26.044404, -1.618249, -2.707757, -1.000000, 1, 11.770596, -2.679394, 3.059181, 3.087544, 0.028363, 0, 1741725300, Passed, Passed, Passed, Passed, NOPASS, Passed
32.465971, -1.103800, 2.669725, -1.000000, 0.155560, 1, 37.383285, 0.715973, 0.819858, -1.000000, 1, 8.774748, -2.093195, 1.849867, 1.520265, 2.913053, 0, 1740899942, Passed, Passed, Passed, NOPASS, Passed, Passed
25.598449, 1.291439, 0.955746, -1.000000, 0.226754, 1, 25.082340, -1.005162, -2.419223, 1.000000, 0, 3.172358, 1.406444, 2.908217, 0.450698, 2.457519, 0, 1740158364, Passed, Passed, Passed, Passed, NOPASS, Passed
