,SherpaFake,SherpaTruth,PoPyFake,PoPyTruth,Zmumu,VV
muon_0_MUON_EFF_ISO_STAT_1down_MuEffSF_IsoLoose_FixedRad,123.15470886230469,10140.750411987305,88.3639144897461,9462.613914489746,270.75320133566856,170.19091129302979
muon_0_MUON_EFF_ISO_STAT_1down_MuEffSF_IsoTightTrackOnly_FixedRad,123.13153076171875,10138.298522949219,88.3534164428711,9460.509666442871,270.68038216233253,170.14277172088623
muon_0_MUON_EFF_ISO_STAT_1up_MuEffSF_IsoLoose_FixedRad,123.19102478027344,10143.583602905273,88.38072967529297,9465.000846862793,270.8382490724325,170.2509479522705
muon_0_MUON_EFF_ISO_STAT_1up_MuEffSF_IsoTightTrackOnly_FixedRad,123.21421813964844,10146.034530639648,88.39125061035156,9467.106094360352,270.91094617545605,170.29905128479004
muon_0_MUON_EFF_ISO_SYS_1down_MuEffSF_IsoLoose_FixedRad,123.03665161132812,10132.017120361328,88.28684997558594,9454.375717163086,270.5596028715372,170.05755710601807
muon_0_MUON_EFF_ISO_SYS_1down_MuEffSF_IsoTightTrackOnly_FixedRad,122.41465759277344,10090.844345092773,87.90119171142578,9413.873847961426,269.767052680254,169.47421169281006
muon_0_MUON_EFF_ISO_SYS_1up_MuEffSF_IsoLoose_FixedRad,123.30908966064453,10152.309089660645,88.4577865600586,9473.240989685059,271.0318475216627,170.38429641723633
muon_0_MUON_EFF_ISO_SYS_1up_MuEffSF_IsoTightTrackOnly_FixedRad,123.93107604980469,10193.486740112305,88.84344482421875,9513.738952636719,271.824458733201,170.96765613555908
muon_0_MUON_EFF_RECO_STAT_1down_MuEffSF_Reco_QualMedium,123.11698150634766,10137.434364318848,88.32719421386719,9459.412155151367,270.66789098083973,170.13915252685547
muon_0_MUON_EFF_RECO_STAT_1up_MuEffSF_Reco_QualMedium,123.22876739501953,10146.89673614502,88.4174575805664,9468.202613830566,270.9234983921051,170.30265998840332
muon_0_MUON_EFF_RECO_STAT_LOWPT_1down_MuEffSF_Reco_QualMedium,123.1728744506836,10142.162132263184,88.37232971191406,9463.805923461914,270.79572519659996,170.22092056274414
muon_0_MUON_EFF_RECO_STAT_LOWPT_1up_MuEffSF_Reco_QualMedium,123.1728744506836,10142.162132263184,88.37232971191406,9463.805923461914,270.79572519659996,170.22092056274414
muon_0_MUON_EFF_RECO_SYS_1down_MuEffSF_Reco_QualMedium,123.02186584472656,10128.566787719727,88.2623062133789,9451.427345275879,270.4046063274145,169.97142887115479
muon_0_MUON_EFF_RECO_SYS_1up_MuEffSF_Reco_QualMedium,123.3265380859375,10155.871459960938,88.48487091064453,9476.304206848145,271.19046503305435,170.47138595581055
