,Sherpa,PoPy,VV
elec_0_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_TightLLH_d0z0_v13,[325744.40911865234],[340118.3815307617],[6916.122032165527]
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_Isolation_TightLLH_d0z0_v13_FCLoose,[322431.79412841797],[336745.9182128906],[6837.566173553467]
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,[322670.6336669922],[336996.59381103516],[6842.784158706665]
elec_0_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_RecoTrk,[322782.4398803711],[337120.57037353516],[6844.0639934539795]
elec_0_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,[322815.7747192383],[337156.3635864258],[6844.148529052734]
elec_1_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_TightLLH_d0z0_v13,[324319.53942871094],[338702.34259033203],[6878.340532302856]
elec_1_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_Isolation_TightLLH_d0z0_v13_FCLoose,[322308.32360839844],[336625.8424682617],[6834.137002944946]
elec_1_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,[322520.4152832031],[336846.53411865234],[6838.659311294556]
elec_1_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_offline_RecoTrk,[322652.5608520508],[336983.5682373047],[6841.5760498046875]
elec_1_EL_EFF_Trigger_TOTAL_1NPCOR_PLUS_UNCOR_1up_EleEffSF_SINGLE_E_2015_e24_lhmedium_L1EM20VH_OR_e60_lhmedium_OR_e120_lhloose_2016_2018_e26_lhtight_nod0_ivarloose_OR_e60_lhmedium_nod0_OR_e140_lhloose_nod0_TightLLH_d0z0_v13_isolFCTight,[322697.5044555664],[337032.1138305664],[6841.945077896118]
jet_FT_EFF_Eigen_B_0_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_B_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322029.29095458984],[336419.2504272461],[6828.2016887664795]
jet_FT_EFF_Eigen_B_1_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_B_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322259.54064941406],[336566.1037597656],[6832.963134765625]
jet_FT_EFF_Eigen_B_2_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_B_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322031.7883300781],[336401.0745239258],[6828.565481185913]
jet_FT_EFF_Eigen_C_0_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_C_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[323410.4138183594],[337556.5227661133],[6889.670707702637]
jet_FT_EFF_Eigen_C_1_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_C_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322646.4736328125],[336920.4312133789],[6850.121686935425]
jet_FT_EFF_Eigen_C_2_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_C_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322195.68688964844],[336507.1373901367],[6829.925457000732]
jet_FT_EFF_Eigen_C_3_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_C_3_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322233.2694091797],[336539.66009521484],[6832.7916831970215]
jet_FT_EFF_Eigen_Light_0_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_Light_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[325357.31915283203],[339402.3130493164],[6905.81090927124]
jet_FT_EFF_Eigen_Light_1_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_Light_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322278.33068847656],[336604.4791870117],[6832.874618530273]
jet_FT_EFF_Eigen_Light_2_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_Light_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322187.1781616211],[336492.02142333984],[6831.619649887085]
jet_FT_EFF_Eigen_Light_3_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_Eigen_Light_3_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322237.15899658203],[336546.5509033203],[6832.676460266113]
jet_FT_EFF_extrapolation_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_extrapolation_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322189.9534301758],[336525.3142089844],[6829.751634597778]
jet_FT_EFF_extrapolation_from_charm_1up_global_effSF_MV2c10_FixedCutBEff_85,[322237.1667480469],[336553.01373291016],[6832.380350112915]
jet_FT_EFF_extrapolation_from_charm_1up_global_ineffSF_MV2c10_FixedCutBEff_85,[322237.0211791992],[336552.83209228516],[6825.7506313323975]
jet_JET_JvtEfficiency_1up_central_jets_global_effSF_JVT,[nan],[337604.41271972656],[nan]
jet_JET_JvtEfficiency_1up_central_jets_global_ineffSF_JVT,[321270.5803222656],[335777.61895751953],[6804.42014503479]
jet_JET_fJvtEfficiency_1up_forward_jets_global_effSF_JVT,[323420.97454833984],[337459.82598876953],[6861.631818771362]
jet_JET_fJvtEfficiency_1up_forward_jets_global_ineffSF_JVT,[321023.314453125],[335646.7191772461],[6796.636171340942]
elec_0_EL_EFF_ID_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_TightLLH_d0z0_v13,[318730.0065307617],[332987.5871887207],[6748.637899398804]
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_Isolation_TightLLH_d0z0_v13_FCLoose,[322042.58459472656],[336360.1395263672],[6827.194078445435]
elec_0_EL_EFF_Iso_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_Isolation_TightLLH_d0z0_v13_FCTight,[321803.79876708984],[336109.4669189453],[6821.975492477417]
elec_0_EL_EFF_Reco_TOTAL_1NPCOR_PLUS_UNCOR_1down_EleEffSF_offline_RecoTrk,[321691.9627685547],[335985.4302368164],[6820.695777893066]
